icc,ci_lo,ci_hi,icc3_consistency,icc3_ci_lo,icc3_ci_hi,paradigm,feature_name,stratum
0.8510615664477242,0.83,0.87,0.8512779775612752,0.83,0.87,radiomics-2d,original_glcm_MCC,good
0.9209669697002445,0.91,0.93,0.9264403402392593,0.92,0.94,radiomics-2d,original_glcm_MaximumProbability,excellent
0.9256080240170026,0.91,0.94,0.9280975572300192,0.92,0.94,radiomics-2d,original_glcm_SumAverage,excellent
0.9355110116900663,0.91,0.95,0.9566350857361778,0.95,0.96,radiomics-2d,original_glcm_SumEntropy,excellent
0.9338998810580504,0.92,0.94,0.9378953246328574,0.93,0.95,radiomics-2d,original_glcm_SumSquares,excellent
0.9025760840476524,0.85,0.93,0.9466681858371838,0.94,0.95,radiomics-2d,original_gldm_DependenceEntropy,excellent
0.9175302711011059,0.87,0.94,0.9518512255600623,0.94,0.96,radiomics-2d,original_gldm_DependenceNonUniformity,excellent
0.8897547734961818,0.87,0.91,0.8990801874160139,0.88,0.91,radiomics-2d,original_gldm_DependenceNonUniformityNormalized,good
0.8919049673763009,0.87,0.91,0.8991433226976304,0.88,0.91,radiomics-2d,original_gldm_DependenceVariance,good
0.942471466041375,0.92,0.96,0.9595643327067545,0.95,0.97,radiomics-2d,original_gldm_GrayLevelNonUniformity,excellent
0.9328709414659236,0.92,0.94,0.9364599917161862,0.93,0.95,radiomics-2d,original_gldm_GrayLevelVariance,excellent
0.922885395392868,0.91,0.93,0.9243026178221025,0.91,0.93,radiomics-2d,original_gldm_HighGrayLevelEmphasis,excellent
0.952247028539772,0.94,0.96,0.9551814419567625,0.95,0.96,radiomics-2d,original_gldm_LargeDependenceEmphasis,excellent
0.9240097681998356,0.91,0.93,0.9260317486363321,0.91,0.94,radiomics-2d,original_gldm_LargeDependenceHighGrayLevelEmphasis,excellent
0.7658171075645634,0.74,0.79,0.767390275480148,0.74,0.8,radiomics-2d,original_gldm_LargeDependenceLowGrayLevelEmphasis,good
0.7705341852792508,0.74,0.8,0.7848954145268796,0.76,0.81,radiomics-2d,original_gldm_LowGrayLevelEmphasis,good
0.9354476412902762,0.93,0.94,0.9372098437471138,0.93,0.95,radiomics-2d,original_gldm_SmallDependenceEmphasis,excellent
0.9225719739783181,0.91,0.93,0.9229905342773591,0.91,0.93,radiomics-2d,original_gldm_SmallDependenceHighGrayLevelEmphasis,excellent
0.7331634786098321,0.69,0.77,0.7636048093218982,0.73,0.79,radiomics-2d,original_gldm_SmallDependenceLowGrayLevelEmphasis,moderate
0.9391290905351162,0.91,0.96,0.9620842770564363,0.96,0.97,radiomics-2d,original_glrlm_GrayLevelNonUniformity,excellent
0.9328162413949941,0.92,0.94,0.9426182185641211,0.93,0.95,radiomics-2d,original_glrlm_GrayLevelNonUniformityNormalized,excellent
0.9296314951501856,0.92,0.94,0.933418347270036,0.92,0.94,radiomics-2d,original_glrlm_GrayLevelVariance,excellent
0.9235119201691557,0.91,0.93,0.9251522765688024,0.91,0.94,radiomics-2d,original_glrlm_HighGrayLevelRunEmphasis,excellent
0.9564690198689981,0.95,0.96,0.9575404119628769,0.95,0.96,radiomics-2d,original_glrlm_LongRunEmphasis,excellent
0.9301692403500642,0.92,0.94,0.9323742610303678,0.92,0.94,radiomics-2d,original_glrlm_LongRunHighGrayLevelEmphasis,excellent
0.7201179538300861,0.69,0.75,0.7204369810229664,0.69,0.75,radiomics-2d,original_glrlm_LongRunLowGrayLevelEmphasis,moderate
0.792175115322453,0.76,0.82,0.8075928189268476,0.78,0.83,radiomics-2d,original_glrlm_LowGrayLevelRunEmphasis,good
0.9235758932240788,0.88,0.95,0.9555761707217058,0.95,0.96,radiomics-2d,original_glrlm_RunEntropy,excellent
0.9163852195933209,0.87,0.94,0.953340618213815,0.95,0.96,radiomics-2d,original_glrlm_RunLengthNonUniformity,excellent
0.9415784786382427,0.93,0.95,0.9443359394697924,0.94,0.95,radiomics-2d,original_glrlm_RunLengthNonUniformityNormalized,excellent
0.9534622248457598,0.95,0.96,0.9563545082218933,0.95,0.96,radiomics-2d,original_glrlm_RunPercentage,excellent
0.9013479747461991,0.89,0.92,0.904362298132874,0.89,0.92,radiomics-2d,original_glrlm_RunVariance,excellent
0.944360836393852,0.94,0.95,0.9451447382890655,0.94,0.95,radiomics-2d,original_glrlm_ShortRunEmphasis,excellent
0.9243849671151909,0.91,0.94,0.9257643287204262,0.91,0.94,radiomics-2d,original_glrlm_ShortRunHighGrayLevelEmphasis,excellent
0.7969962467278309,0.76,0.83,0.8173792509062789,0.79,0.84,radiomics-2d,original_glrlm_ShortRunLowGrayLevelEmphasis,good
0.9089499814748381,0.87,0.93,0.9412143718095567,0.93,0.95,radiomics-2d,original_glszm_GrayLevelNonUniformity,excellent
0.871592964913465,0.85,0.89,0.8853722255842771,0.87,0.9,radiomics-2d,original_glszm_GrayLevelNonUniformityNormalized,good
0.9184168974643913,0.91,0.93,0.9226312730700188,0.91,0.93,radiomics-2d,original_glszm_GrayLevelVariance,excellent
0.9236358842544079,0.91,0.93,0.925878008361813,0.91,0.94,radiomics-2d,original_glszm_HighGrayLevelZoneEmphasis,excellent
0.9250494068349971,0.91,0.94,0.9252788707226927,0.91,0.94,radiomics-2d,original_glszm_LargeAreaEmphasis,excellent
0.882660779148105,0.87,0.9,0.8845813060420432,0.87,0.9,radiomics-2d,original_glszm_LargeAreaHighGrayLevelEmphasis,good
0.6380260151481053,0.6,0.68,0.6379643339658201,0.6,0.68,radiomics-2d,original_glszm_LargeAreaLowGrayLevelEmphasis,moderate
0.838771477704501,0.81,0.86,0.8547465024998692,0.83,0.87,radiomics-2d,original_glszm_LowGrayLevelZoneEmphasis,good
0.9176124431860176,0.89,0.94,0.9420651540721281,0.93,0.95,radiomics-2d,original_glszm_SizeZoneNonUniformity,excellent
0.8299454762600882,0.81,0.85,0.832038972792295,0.81,0.85,radiomics-2d,original_glszm_SizeZoneNonUniformityNormalized,good
0.8210687565747696,0.8,0.84,0.8215220855477413,0.8,0.84,radiomics-2d,original_glszm_SmallAreaEmphasis,good
0.9214220586271505,0.91,0.93,0.9231604225351506,0.91,0.93,radiomics-2d,original_glszm_SmallAreaHighGrayLevelEmphasis,excellent
0.6823820612076041,0.65,0.72,0.6925222151152755,0.66,0.73,radiomics-2d,original_glszm_SmallAreaLowGrayLevelEmphasis,moderate
0.9117450003732497,0.86,0.94,0.9513847589408885,0.94,0.96,radiomics-2d,original_glszm_ZoneEntropy,excellent
0.9450348763637553,0.94,0.95,0.9478510151697603,0.94,0.96,radiomics-2d,original_glszm_ZonePercentage,excellent
0.8749612915487791,0.86,0.89,0.8767884678945097,0.86,0.89,radiomics-2d,original_glszm_ZoneVariance,good
0.5494308179597799,0.51,0.59,0.549858415395708,0.51,0.59,radiomics-2d,original_ngtdm_Busyness,moderate
0.33333443357279124,0.29,0.38,0.333334444244315,0.29,0.38,radiomics-2d,original_ngtdm_Coarseness,poor
0.9115394473539475,0.9,0.92,0.9139246525831392,0.9,0.93,radiomics-2d,original_ngtdm_Complexity,excellent
0.7840490794520188,0.76,0.81,0.7874487704501134,0.76,0.81,radiomics-2d,original_ngtdm_Contrast,good
0.8913414852962593,0.88,0.91,0.8918984810908182,0.88,0.91,radiomics-2d,original_ngtdm_Strength,good
0.7975212116324586,0.77,0.82,0.7983193849759473,0.77,0.82,biomedclip,d0000,good
0.7889671644816244,0.76,0.82,0.7901280472860466,0.76,0.82,biomedclip,d0001,good
