paradigm,feature_name,icc3_1,icc3_1_ci_lo,icc3_1_ci_hi,stratum_from_icc2_1
radiomics-2d,original_glrlm_LongRunHighGrayLevelEmphasis,0.9323742610303678,0.92,0.94,excellent
radiomics-2d,original_glrlm_LongRunLowGrayLevelEmphasis,0.7204369810229664,0.69,0.75,moderate
radiomics-2d,original_glrlm_LowGrayLevelRunEmphasis,0.8075928189268476,0.78,0.83,good
radiomics-2d,original_glrlm_RunEntropy,0.9555761707217058,0.95,0.96,excellent
radiomics-2d,original_glrlm_RunLengthNonUniformity,0.953340618213815,0.95,0.96,excellent
radiomics-2d,original_glrlm_RunLengthNonUniformityNormalized,0.9443359394697924,0.94,0.95,excellent
radiomics-2d,original_glrlm_RunPercentage,0.9563545082218932,0.95,0.96,excellent
radiomics-2d,original_glrlm_RunVariance,0.904362298132874,0.89,0.92,excellent
radiomics-2d,original_glrlm_ShortRunEmphasis,0.9451447382890656,0.94,0.95,excellent
radiomics-2d,original_glrlm_ShortRunHighGrayLevelEmphasis,0.9257643287204262,0.91,0.94,excellent
radiomics-2d,original_glrlm_ShortRunLowGrayLevelEmphasis,0.8173792509062789,0.79,0.84,good
radiomics-2d,original_glszm_GrayLevelNonUniformity,0.9412143718095568,0.93,0.95,excellent
radiomics-2d,original_glszm_GrayLevelNonUniformityNormalized,0.8853722255842771,0.87,0.9,good
radiomics-2d,original_glszm_GrayLevelVariance,0.9226312730700188,0.91,0.93,excellent
radiomics-2d,original_glszm_HighGrayLevelZoneEmphasis,0.925878008361813,0.91,0.94,excellent
radiomics-2d,original_glszm_LargeAreaEmphasis,0.9252788707226928,0.91,0.94,excellent
radiomics-2d,original_glszm_LargeAreaHighGrayLevelEmphasis,0.8845813060420432,0.87,0.9,good
radiomics-2d,original_glszm_LargeAreaLowGrayLevelEmphasis,0.6379643339658201,0.6,0.68,moderate
radiomics-2d,original_glszm_LowGrayLevelZoneEmphasis,0.8547465024998692,0.83,0.87,good
radiomics-2d,original_glszm_SizeZoneNonUniformity,0.942065154072128,0.93,0.95,excellent
radiomics-2d,original_glszm_SizeZoneNonUniformityNormalized,0.832038972792295,0.81,0.85,good
radiomics-2d,original_glszm_SmallAreaEmphasis,0.8215220855477413,0.8,0.84,good
radiomics-2d,original_glszm_SmallAreaHighGrayLevelEmphasis,0.9231604225351506,0.91,0.93,excellent
radiomics-2d,original_glszm_SmallAreaLowGrayLevelEmphasis,0.6925222151152755,0.66,0.73,moderate
radiomics-2d,original_glszm_ZoneEntropy,0.9513847589408884,0.94,0.96,excellent
radiomics-2d,original_glszm_ZonePercentage,0.9478510151697604,0.94,0.96,excellent
radiomics-2d,original_glszm_ZoneVariance,0.8767884678945097,0.86,0.89,good
radiomics-2d,original_ngtdm_Busyness,0.549858415395708,0.51,0.59,moderate
radiomics-2d,original_ngtdm_Coarseness,0.333334444244315,0.29,0.38,poor
radiomics-2d,original_ngtdm_Complexity,0.9139246525831392,0.9,0.93,excellent
radiomics-2d,original_ngtdm_Contrast,0.7874487704501134,0.76,0.81,good
radiomics-2d,original_ngtdm_Strength,0.8918984810908182,0.88,0.91,good
biomedclip,d0000,0.7983193849759473,0.77,0.82,good
biomedclip,d0001,0.7901280472860466,0.76,0.82,good
biomedclip,d0002,0.8296720176171515,0.81,0.85,good
biomedclip,d0003,0.828916783247469,0.81,0.85,good
biomedclip,d0004,0.8127115620338518,0.79,0.84,good
biomedclip,d0005,0.8479984685918812,0.83,0.87,good
biomedclip,d0006,0.7570048136054895,0.73,0.79,good
biomedclip,d0007,0.8220341224847647,0.8,0.84,good
biomedclip,d0008,0.7840635280592314,0.76,0.81,good
biomedclip,d0009,0.8357337531785356,0.81,0.86,good
biomedclip,d0010,0.805307028121669,0.78,0.83,good
biomedclip,d0011,0.8578057638416069,0.84,0.88,good
biomedclip,d0012,0.7763971202392825,0.75,0.8,good
biomedclip,d0013,0.8084154857629147,0.78,0.83,good
biomedclip,d0014,0.7893239185020727,0.76,0.82,good
biomedclip,d0015,0.8823640742717014,0.87,0.9,good
biomedclip,d0016,0.7707970070368437,0.74,0.8,good
biomedclip,d0017,0.7878503055929108,0.76,0.81,good
biomedclip,d0018,0.7931209921786402,0.77,0.82,good
biomedclip,d0019,0.7702020088319614,0.74,0.8,good
biomedclip,d0020,0.7569863968439889,0.73,0.79,good
biomedclip,d0021,0.8414935332577244,0.82,0.86,good
biomedclip,d0022,0.8387973212858153,0.82,0.86,good
biomedclip,d0023,0.7360623595323136,0.7,0.77,moderate
biomedclip,d0024,0.8584432611725974,0.84,0.88,good
biomedclip,d0025,0.8084501508084768,0.78,0.83,good
biomedclip,d0026,0.8004934399485645,0.77,0.83,good
biomedclip,d0027,0.7581913042757018,0.73,0.79,good
biomedclip,d0028,0.8213972628505385,0.8,0.84,good
biomedclip,d0029,0.7767491205572834,0.75,0.8,good
biomedclip,d0030,0.7527126629536347,0.72,0.78,good
biomedclip,d0031,0.7772112264258906,0.75,0.8,good
biomedclip,d0032,0.8751921250052312,0.86,0.89,good
biomedclip,d0033,0.8289292676195015,0.81,0.85,good
biomedclip,d0034,0.7605608896391365,0.73,0.79,good
biomedclip,d0035,0.8009088728754129,0.78,0.83,good
biomedclip,d0036,0.8375832757177405,0.82,0.86,good
biomedclip,d0037,0.7650721675430106,0.74,0.79,good
biomedclip,d0038,0.8410150161214575,0.82,0.86,good
biomedclip,d0039,0.821538805682469,0.8,0.84,good
biomedclip,d0040,0.8761875497983584,0.86,0.89,good
biomedclip,d0041,0.7875108275621125,0.76,0.81,good
biomedclip,d0042,0.795061487568085,0.77,0.82,good
biomedclip,d0043,0.8061067608596716,0.78,0.83,good
biomedclip,d0044,0.8604776748984847,0.84,0.88,good
biomedclip,d0045,0.842522691606164,0.82,0.86,good
biomedclip,d0046,0.8534905880903083,0.83,0.87,good
biomedclip,d0047,0.8260332446380442,0.8,0.85,good
biomedclip,d0048,0.7583556483242497,0.73,0.79,good
biomedclip,d0049,0.7654878909618165,0.74,0.79,good
biomedclip,d0050,0.7918690452665866,0.77,0.82,good
biomedclip,d0051,0.8220699507534902,0.8,0.84,good
biomedclip,d0052,0.7454050538109381,0.71,0.78,moderate
biomedclip,d0053,0.7634468424490295,0.73,0.79,good
biomedclip,d0054,0.7705181712617364,0.74,0.8,good
biomedclip,d0055,0.8026256410094903,0.78,0.83,good
biomedclip,d0056,0.822477874929141,0.8,0.85,good
biomedclip,d0057,0.7974228802980428,0.77,0.82,good
biomedclip,d0058,0.7777987627666313,0.75,0.81,good
biomedclip,d0059,0.7693174831119932,0.74,0.8,good
biomedclip,d0060,0.7558724150866181,0.73,0.79,good
biomedclip,d0061,0.7924529452280736,0.77,0.82,good
biomedclip,d0062,0.851322282411757,0.83,0.87,good
biomedclip,d0063,0.8349486338369044,0.81,0.86,good
biomedclip,d0064,0.829476247603653,0.81,0.85,good
biomedclip,d0065,0.7740156417468879,0.75,0.8,good
biomedclip,d0066,0.7714601674722632,0.74,0.8,good
biomedclip,d0067,0.749744471714739,0.72,0.78,moderate
biomedclip,d0068,0.8002402434138506,0.77,0.83,good
biomedclip,d0069,0.8400263305886874,0.82,0.86,good
biomedclip,d0070,0.7953575669146167,0.77,0.82,good
biomedclip,d0071,0.821206563936465,0.8,0.84,good
biomedclip,d0072,0.7877830250769843,0.76,0.81,good
biomedclip,d0073,0.8280787587303167,0.8,0.85,good
biomedclip,d0074,0.7890693755788413,0.76,0.82,good
biomedclip,d0075,0.8768829974653035,0.86,0.89,good
biomedclip,d0076,0.8330908466676442,0.81,0.85,good
biomedclip,d0077,0.7760598386513593,0.75,0.8,good
biomedclip,d0078,0.7783378888499167,0.75,0.81,good
biomedclip,d0079,0.8347782941553222,0.81,0.86,good
biomedclip,d0080,0.8090653829784483,0.78,0.83,good
biomedclip,d0081,0.790172022951064,0.76,0.82,good
biomedclip,d0082,0.8033959063064048,0.78,0.83,good
biomedclip,d0083,0.8400261166660966,0.82,0.86,good
biomedclip,d0084,0.7941211336167548,0.77,0.82,good
biomedclip,d0085,0.8268835345357328,0.8,0.85,good
biomedclip,d0086,0.8641789039919575,0.85,0.88,good
biomedclip,d0087,0.7594813098161088,0.73,0.79,good
biomedclip,d0088,0.8417481715570393,0.82,0.86,good
biomedclip,d0089,0.7687798807061988,0.74,0.8,good
biomedclip,d0090,0.8885221248683047,0.87,0.9,good
biomedclip,d0091,0.7126805554065031,0.68,0.75,moderate
biomedclip,d0092,0.7542568354241721,0.72,0.78,good
biomedclip,d0093,0.8872782150771867,0.87,0.9,good
biomedclip,d0094,0.7406644994665427,0.71,0.77,moderate
biomedclip,d0095,0.7509704622495169,0.72,0.78,good
biomedclip,d0096,0.823632353688879,0.8,0.85,good
biomedclip,d0097,0.7943759905850182,0.77,0.82,good
biomedclip,d0098,0.8921479286573822,0.88,0.91,good
biomedclip,d0099,0.7861892959545901,0.76,0.81,good
biomedclip,d0100,0.8311703753209468,0.81,0.85,good
biomedclip,d0101,0.8997345147657918,0.89,0.91,good
biomedclip,d0102,0.762322939126847,0.73,0.79,good
